S.No.,State,State code,Capital,Since,Area (km),Pop. (2020),Pop. per km,Legis­lature,Head of state and government (Minister-President or Mayor),Bun­des­rat votes,HDI (2018),GDP per capita (€; 2020)
1,Baden-Württemberg,BW,Stuttgart,1952,35752,11103043,310,Landtag,Winfried Kretschmann (Greens),6,0.953,45108
2,Bavaria,BY,Munich,1949,70552,13140183,185,Landtag,Markus Söder (CSU),6,0.947,46498
3,Berlin,BE,–,1990,892,3664088,4086,Abgeord­netenhaus,Franziska Giffey (SPD),4,0.95,42221
4,Brandenburg,BB,Potsdam,1990,29480,2531071,85,Landtag,Dietmar Woidke (SPD),4,0.914,29282
5,Bremen,HB,Bremen,1949,419,680130,1630,Bürger­schaft,Andreas Bovenschulte (SPD),3,0.951,46468
6,Hamburg,HH,–,1949,755,1852478,2439,Bürger­schaft,Peter Tschentscher (SPD),3,0.975,64022
7,Hesse,HE,Wiesbaden,1949,21115,6293154,297,Landtag,Boris Rhein (CDU),5,0.949,44750
8,Lower Saxony,NI,Hanover,1949,47609,8003421,168,Landtag,Stephan Weil (SPD),6,0.922,37005
9,Mecklenburg-Vorpommern,MV,Schwerin,1990,23180,1610774,69,Landtag,Manuela Schwesig (SPD),3,0.91,28590
10,North Rhine-Westphalia,NW,Düsseldorf,1949,34085,17925570,526,Landtag,Hendrik Wüst (CDU),6,0.936,38876
11,Rhineland-Palatinate,RP,Mainz,1949,19853,4098391,206,Landtag,Malu Dreyer (SPD),4,0.928,34673
12,Saarland,SL,Saarbrücken,1957,2569,983991,386,Landtag,Anke Rehlinger (SPD),3,0.931,34125
13,Saxony,SN,Dresden,1990,18416,4056941,221,Landtag,Michael Kretschmer (CDU),4,0.93,30903
14,Saxony-Anhalt,ST,Magdeburg,1990,20446,2180684,108,Landtag,Reiner Haseloff (CDU),4,0.908,28652
15,Schleswig-Holstein,SH,Kiel,1949,15799,2910875,183,Landtag,Daniel Günther (CDU),4,0.92,33452
16,Thuringia,TH,Erfurt,1990,16172,2120237,133,Landtag,Bodo Ramelow (The Left),4,0.921,28953
